tactic,rule_name,title,rule_id,status,level,path,tags,techniques
defense-evasion,proc_creation_win_susp_cli_obfuscation_escape_char,Potential Commandline Obfuscation Using Escape Characters,f0cdd048-82dc-4f7a-8a7a-b87a52b6d0fd,test,medium,rules/proc_creation_win_susp_cli_obfuscation_escape_char.yml,attack.defense-evasion; attack.t1140,attack.t1140
defense-evasion,proc_creation_win_susp_cli_obfuscation_unicode_img,Potential CommandLine Obfuscation Using Unicode Characters From Suspicious Image,584bca0f-3608-4402-80fd-4075ff6072e3,test,high,rules/proc_creation_win_susp_cli_obfuscation_unicode_img.yml,attack.defense-evasion; attack.t1027,attack.t1027
defense-evasion,proc_creation_win_susp_commandline_path_traversal_evasion,Potential Command Line Path Traversal Evasion Attempt,1327381e-6ab0-4f38-b583-4c1b8346a56b,test,medium,rules/proc_creation_win_susp_commandline_path_traversal_evasion.yml,attack.defense-evasion; attack.t1036,attack.t1036
defense-evasion,proc_creation_win_susp_copy_system_dir,Suspicious Copy From or To System Directory,fff9d2b7-e11c-4a69-93d3-40ef66189767,test,medium,rules/proc_creation_win_susp_copy_system_dir.yml,attack.defense-evasion; attack.t1036.003,attack.t1036.003
defense-evasion,proc_creation_win_susp_copy_system_dir_lolbin,LOL-Binary Copied From System Directory,f5d19838-41b5-476c-98d8-ba8af4929ee2,test,high,rules/proc_creation_win_susp_copy_system_dir_lolbin.yml,attack.defense-evasion; attack.t1036.003,attack.t1036.003
defense-evasion,proc_creation_win_susp_disable_raccine,Raccine Uninstall,a31eeaed-3fd5-478e-a8ba-e62c6b3f9ecc,test,high,rules/proc_creation_win_susp_disable_raccine.yml,attack.defense-evasion; attack.t1562.001,attack.t1562.001
defense-evasion,proc_creation_win_susp_dumpstack_log_evasion,DumpStack.log Defender Evasion,4f647cfa-b598-4e12-ad69-c68dd16caef8,test,critical,rules/proc_creation_win_susp_dumpstack_log_evasion.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_elevated_system_shell_uncommon_parent,Elevated System Shell Spawned From Uncommon Parent Location,178e615d-e666-498b-9630-9ed363038101,test,medium,rules/proc_creation_win_susp_elevated_system_shell_uncommon_parent.yml,attack.defense-evasion; attack.execution; attack.privilege-escalation; attack.t1059,attack.t1059
defense-evasion,proc_creation_win_susp_emoji_usage_in_cli_1,Potential Defense Evasion Activity Via Emoji Usage In CommandLine - 1,4a30ac0c-b9d6-4e01-b71a-5f851bbf4259,test,high,rules/proc_creation_win_susp_emoji_usage_in_cli_1.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_emoji_usage_in_cli_2,Potential Defense Evasion Activity Via Emoji Usage In CommandLine - 2,c98f2a0d-e1b8-4f76-90d3-359caf88d6b9,test,high,rules/proc_creation_win_susp_emoji_usage_in_cli_2.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_emoji_usage_in_cli_3,Potential Defense Evasion Activity Via Emoji Usage In CommandLine - 3,f9578658-9e71-4711-b634-3f9b50cd3c06,test,high,rules/proc_creation_win_susp_emoji_usage_in_cli_3.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_emoji_usage_in_cli_4,Potential Defense Evasion Activity Via Emoji Usage In CommandLine - 4,225274c4-8dd1-40db-9e09-71dff4f6fb3c,test,high,rules/proc_creation_win_susp_emoji_usage_in_cli_4.yml,attack.defense-evasion,
defense-evasion,proc_creation_win_susp_etw_modification_cmdline,ETW Logging Tamper In .NET Processes Via CommandLine,41421f44-58f9-455d-838a-c398859841d4,test,high,rules/proc_creation_win_susp_etw_modification_cmdline.yml,attack.defense-evasion; attack.t1562,attack.t1562
defense-evasion,proc_creation_win_susp_etw_trace_evasion,ETW Trace Evasion Activity,a238b5d0-ce2d-4414-a676-7a531b3d13d6,test,high,rules/proc_creation_win_susp_etw_trace_evasion.yml,attack.defense-evasion; attack.t1070; attack.t1562.006; car.2016-04-002,attack.t1070; attack.t1562.006
defense-evasion,proc_creation_win_susp_eventlog_clear,Suspicious Eventlog Clearing or Configuration Change Activity,cc36992a-4671-4f21-a91d-6c2b72a2edf5,stable,high,rules/proc_creation_win_susp_eventlog_clear.yml,attack.defense-evasion; attack.t1070.001; attack.t1562.002; car.2016-04-002,attack.t1070.001; attack.t1562.002
